Wavelength[nm]	Intensity[normalized]	Ret_Intensity[normalized]	Phase[rad]
671.53	0.02731502	0.67699904	-0.90823938
671.98	0.02731159	0.68012869	-0.90086440
672.43	0.02739843	0.67661238	-0.87822930
672.88	0.02737559	0.67216217	-0.84326806
673.33	0.02735762	0.66776833	-0.80379743
673.78	0.02736594	0.66420084	-0.75884507
674.22	0.02711763	0.66222791	-0.71427457
674.67	0.02674444	0.66651820	-0.66520730
675.12	0.02666044	0.67321618	-0.61360055
675.57	0.02685270	0.68185798	-0.56434128
676.02	0.02710087	0.69220351	-0.51059767
676.47	0.02742555	0.70401037	-0.45823319
676.91	0.02779924	0.71654140	-0.41018161
677.36	0.02790728	0.73011460	-0.35961104
677.81	0.02768149	0.74467797	-0.31140834
678.26	0.02774795	0.76012534	-0.26753064
678.71	0.02864796	0.77634745	-0.22602881
679.15	0.02999708	0.79514514	-0.17811775
679.60	0.03111774	0.81449745	-0.14333267
680.05	0.03204478	0.83330803	-0.10409936
680.50	0.03320847	0.85091618	-0.07507019
680.95	0.03456908	0.86666509	-0.04745996
681.39	0.03588820	0.87588718	-0.02810849
681.84	0.03712805	0.88107253	-0.01506649
682.29	0.03807152	0.88466716	-0.00247842
682.74	0.03860121	0.88734252	-0.00401997
683.18	0.03898611	0.88977182	-0.00211678
683.63	0.03926442	0.89538938	-0.00263200
684.08	0.03949581	0.90384481	-0.01533501
684.53	0.04019485	0.91230113	-0.02362797
684.97	0.04129370	0.92027480	-0.04118645
685.42	0.04209607	0.92728122	-0.06117822
685.87	0.04277612	0.93133407	-0.09044287
686.32	0.04381797	0.93099353	-0.12410125
686.77	0.04465946	0.92951306	-0.16411010
687.21	0.04476616	0.92736591	-0.20851991
687.66	0.04444663	0.92502529	-0.25635772
688.11	0.04389367	0.92330106	-0.30274428
688.55	0.04290891	0.92470119	-0.34573003
689.00	0.04155016	0.92663966	-0.39899036
689.45	0.04029392	0.92896891	-0.44495068
689.90	0.03969374	0.93154196	-0.49142698
690.34	0.03988356	0.93421096	-0.53842275
690.79	0.04022909	0.93683846	-0.58691800
691.24	0.04002374	0.93926703	-0.63398650
691.69	0.03915150	0.94134424	-0.67474885
692.13	0.03778821	0.94292044	-0.71897409
692.58	0.03636024	0.94384545	-0.75494686
693.03	0.03508940	0.94428785	-0.79536584
693.47	0.03362788	0.94397805	-0.82167970
693.92	0.03209383	0.94237713	-0.84561053
694.37	0.03107166	0.93921021	-0.86227883
694.82	0.03061814	0.93420392	-0.87754728
695.26	0.03070281	0.92641945	-0.88458323
695.71	0.03140920	0.91382125	-0.88046026
696.16	0.03208146	0.89937591	-0.87494723
696.60	0.03184096	0.88349429	-0.86316458
697.05	0.03083832	0.86658935	-0.84316239
697.50	0.02985226	0.84907169	-0.82080324
697.94	0.02929965	0.82998345	-0.79511375
698.39	0.02912803	0.81107805	-0.76316739
698.84	0.02914027	0.79342350	-0.73082670
699.28	0.02932101	0.77777725	-0.69711823
699.73	0.02958120	0.76490055	-0.66204512
700.18	0.02946939	0.75773180	-0.62854013
700.62	0.02886030	0.75767983	-0.59465324
701.07	0.02834443	0.76112969	-0.55843439
701.52	0.02839508	0.76772676	-0.52574600
701.96	0.02882239	0.77711699	-0.48877861
702.41	0.02920207	0.78894711	-0.45632430
702.86	0.02934370	0.80262476	-0.41764389
703.30	0.02929595	0.81806646	-0.37762318
703.75	0.02929282	0.83498406	-0.33724171
704.20	0.02958422	0.85307825	-0.30333836
704.64	0.02998888	0.87204486	-0.26712702
705.09	0.03027156	0.89253176	-0.24228249
705.54	0.03050960	0.91432148	-0.21806549
